Term Amount,Add Array Memory,Add Array Time,Add List Memory,Add List Time,Generate Array Memory,Generate Array Time,Generate List Memory,Generate List Time,Multiply Array Memory,Multiply Array Time,Multiply List Memory,Multiply List Time,Process Array Memory,Process Array Time,Process List Memory,Process List Time
Term Amount,Array,Array,List,List,Array,Array,List,List,Array,Array,List,List,Array,Array,List,List
340,33096,0.079,43720,0.108,5440,0.012,10880,0.041,3958272,19.391,4268096,19.041,0,0.021,0,0.021
340,33096,0.078,43720,0.109,5440,0.012,10880,0.041,3958272,18.525,4268096,23.248,0,0.02,0,0.02
350,33920,0.082,44896,0.126,5600,0.012,11200,0.046,3999232,18.023,4268096,22.399,0,0.021,0,0.027
350,33920,0.182,44896,0.133,5600,0.016,11200,0.044,3999232,24.459,4268096,21.99,0,0.02,0,0.021
350,33920,0.083,44896,0.119,5600,0.012,11200,0.049,3999232,24.401,4268096,27.529,0,0.026,0,0.026
350,33920,0.082,44896,0.112,5600,0.013,11200,0.046,3999232,20.11,4268096,24.311,0,0.021,0,0.021
350,33920,0.082,44896,0.113,5600,0.013,11200,0.044,3999232,17.665,4268096,20.234,0,0.02,0,0.021
360,35216,0.096,46512,0.13,5760,0.012,11520,0.044,4250256,18.385,4617552,21.489,0,0.022,0,0.032
360,35216,0.085,46512,0.116,5760,0.013,11520,0.045,4250256,20.544,4617552,24.533,0,0.021,0,0.022
360,35216,0.084,46512,0.115,5760,0.013,11520,0.046,4250256,19.738,4617552,19.879,0,0.022,0,0.021
360,35216,0.083,46512,0.121,5760,0.013,11520,0.048,4250256,18.595,4617552,20.291,0,0.022,0,0.022
360,35216,0.084,46512,0.118,5760,0.012,11520,0.05,4250256,18.323,4617552,19.942,0,0.021,0,0.021
370,35992,0.091,47576,0.132,5920,0.014,11840,0.045,4291216,18.969,4617552,20.535,0,0.027,0,0.027
370,35992,0.092,47576,0.118,5920,0.013,11840,0.047,4291216,23.867,4617552,24.205,0,0.022,0,0.022
370,35992,0.085,47576,0.117,5920,0.013,11840,0.045,4291216,21.836,4617552,20.688,0,0.022,0,0.028
370,35992,0.085,47576,0.123,5920,0.012,11840,0.045,4291216,19.516,4617552,21.813,0,0.022,0,0.022
370,35992,0.09,47576,0.117,5920,0.013,11840,0.045,4291216,18.982,4617552,20.639,0,0.022,0,0.022
380,36720,0.088,48528,0.134,6080,0.014,12160,0.053,4332176,19.709,4627496,24.402,0,0.023,0,0.027
380,36720,0.088,48528,0.121,6080,0.013,12160,0.05,4332176,25.498,4627496,22.054,0,0.022,0,0.023
380,36720,0.087,48528,0.125,6080,0.013,12160,0.047,4332176,39.469,4627496,21.417,0,0.029,0,0.022
380,36720,0.092,48528,0.126,6080,0.013,12160,0.046,4332176,20.204,4627496,23.617,0,0.022,0,0.023
380,36720,0.087,48528,0.121,6080,0.013,12160,0.047,4332176,20.511,4627496,21.401,0,0.028,0,0.027
